model,threshold,n,positives,predicted_positives,tp,fp,tn,fn,accuracy,sensitivity,specificity,precision,npv,f1,balanced_accuracy,auc,brier
ARP_model,0.8,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.81,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.82,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.83,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.84,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.85,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.86,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.87,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.88,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.89,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.9,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.91,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.92,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.93,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.94,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.95,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.96,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.97,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
