,lh_caudalanteriorcingulate_thickness,lh_caudalmiddlefrontal_thickness,lh_inferiorparietal_thickness,lh_inferiortemporal_thickness,lh_isthmuscingulate_thickness,lh_lateraloccipital_thickness,lh_lateralorbitofrontal_thickness,lh_medialorbitofrontal_thickness,lh_middletemporal_thickness,lh_parahippocampal_thickness,lh_parsopercularis_thickness,lh_parstriangularis_thickness,lh_pericalcarine_thickness,lh_postcentral_thickness,lh_posteriorcingulate_thickness,lh_precuneus_thickness,lh_rostralanteriorcingulate_thickness,lh_superiorparietal_thickness,lh_supramarginal_thickness,lh_frontalpole_thickness,lh_temporalpole_thickness,lh_insula_thickness,rh_bankssts_thickness,rh_caudalmiddlefrontal_thickness,rh_fusiform_thickness,rh_lateralorbitofrontal_thickness,rh_lingual_thickness,rh_medialorbitofrontal_thickness,rh_parsopercularis_thickness,rh_parstriangularis_thickness,rh_posteriorcingulate_thickness,rh_precentral_thickness,rh_rostralanteriorcingulate_thickness,rh_superiorfrontal_thickness,rh_superiorparietal_thickness,rh_supramarginal_thickness,rh_frontalpole_thickness,rh_temporalpole_thickness,rh_transversetemporal_thickness
lh_temporalpole_thickness,0.9521291159267201,0.9942268007997421,0.9981498491170253,0.9799368097653028,0.9870825204551884,0.9904924176366229,0.9872064992611561,0.972851899772615,0.9770821406627241,0.9888900850030748,0.9787378320961538,0.9909527334142898,0.9468936179109969,0.9915134837251403,0.9983219264149573,0.9892155061934661,0.9609074120687241,0.9936689266435885,0.9933036702039387,0.9954316162163421,1.0,0.9856756769397136,0.9827758771709522,0.9957854155516417,0.9929517841321648,0.9859499192980726,0.976978017103578,0.9599179709165963,0.9634094422616939,0.996780999266462,0.9980279971138797,0.9869051579816909,0.901949479465183,0.9964190714389062,0.9934669986980034,0.9930179579380888,0.9884642650733759,0.9994783847063567,0.9979784539815129
lh_insula_thickness,0.907581157423534,0.9846727872503681,0.9829788139990285,0.9980466405491886,0.9539607626472975,0.9905873776815322,0.9986073510691557,0.992800940521182,0.9884863850824079,0.9582187431192836,0.9870373651491425,0.9868470861569206,0.9807745132689458,0.977769959895645,0.9864002298336139,0.9933353753605675,0.9473965505833194,0.9892331817405732,0.9816140912991579,0.9719863358333322,0.9856756769397136,1.0,0.9919984430010491,0.9872564487358005,0.9956935408766587,0.9766273547252811,0.9948924332495318,0.9718280435591945,0.9835682319423097,0.9893085651640118,0.9810187704715653,0.9800241631599566,0.9162558462244762,0.9874748122146534,0.985782398134491,0.9811083707713603,0.956773124737031,0.9856982228455232,0.9921954014413755
rh_bankssts_thickness,0.8819135226386022,0.993100122528104,0.9861613873159035,0.9917027852339483,0.961363966119135,0.9968966558346897,0.9889364466245318,0.9726103652229315,0.999410741284257,0.9695035422032479,0.9992881953194315,0.9963215134386024,0.9844683815517916,0.9894697532194956,0.9803219799690476,0.9986936180898096,0.9109347853770181,0.9941821804422103,0.9915161883536295,0.9631110582533979,0.9827758771709522,0.9919984430010491,1.0,0.9932832761100763,0.9969239495439199,0.953066406587608,0.9953413406713917,0.9373118462668577,0.9961052492329086,0.9924558850242081,0.9768566592350126,0.9943116374976831,0.8611045717174722,0.9924628566431045,0.9933295443484976,0.9912876964375293,0.9444807126298244,0.9864421778984104,0.988754096211818
rh_caudalmiddlefrontal_thickness,0.924471273172836,0.9997680039207372,0.998605676591911,0.9831515825465175,0.985669625444729,0.997446047606866,0.9862982139275849,0.96669913845905,0.9903192478066999,0.9902344990761612,0.9920578573270775,0.9990037752364991,0.9626088146540094,0.9983027544463676,0.9937986101783614,0.9968277991274095,0.9343594448720173,0.9985449632307641,0.9993651301252755,0.984783126132455,0.9957854155516417,0.9872564487358005,0.9932832761100763,1.0,0.9970541574341606,0.969418889354074,0.9854905797926011,0.9420687513495963,0.9804954912437356,0.9996733598212303,0.9932979850625907,0.9972580083591098,0.8708349276162723,0.9997531142641795,0.9992026826681942,0.9992578077298767,0.9732016696123347,0.9979921473115849,0.9967533484302921
rh_fusiform_thickness,0.9139496202369125,0.9957358764476157,0.9937723758047095,0.9942583675186372,0.9715397575451048,0.9987421799889823,0.995293494059284,0.981457465391406,0.9943154833462463,0.9769956759989566,0.9941621359982032,0.9966938530369883,0.9777027406454175,0.9919095427173596,0.9918650688399756,0.9992394384794482,0.9383474592246832,0.9981348805325019,0.994157395898785,0.9790081681931533,0.9929517841321648,0.9956935408766587,0.9969239495439199,0.9970541574341606,1.0,0.9729950089151244,0.9949013903710138,0.9568998475287893,0.9873825634573911,0.9974563967263458,0.9888865069872474,0.9927686319012363,0.8906642682235804,0.996503004598067,0.9967032881664318,0.9938987799028498,0.9647796983276101,0.9943773563425652,0.996598283197854
rh_lateralorbitofrontal_thickness,0.9713928750820868,0.9644985134568023,0.9760769093125133,0.9701962843522303,0.9594917118699694,0.9645594734768714,0.9818366063976673,0.9812750193137219,0.9435931008396028,0.9560103611169752,0.9431780080094333,0.9595020387972834,0.9240243398399396,0.9580180493378201,0.9885783765095604,0.9636790573766825,0.9923549150460107,0.9694142050792911,0.9618003119942374,0.9897026691474621,0.9859499192980726,0.9766273547252811,0.953066406587608,0.969418889354074,0.9729950089151244,1.0,0.9584324609077993,0.9888035114923706,0.9274278395192045,0.9741002527545761,0.9859215168022774,0.9491098836389621,0.9590707554940004,0.9710228846564272,0.9656115743374047,0.9611638601982708,0.987606145179906,0.9802995982470539,0.9841224692028021
rh_lingual_thickness,0.8794213650250312,0.9835256307808145,0.9786065695123978,0.9977643616677334,0.9449636049285665,0.9939738665216721,0.9944626837326651,0.9838704506035638,0.9948171038620888,0.952885123625599,0.9924152535035123,0.9876697989978926,0.9934195904212016,0.9780004392309735,0.9773597466815418,0.995535443812039,0.9189954496585968,0.9905977297811114,0.9811116900147484,0.9564698314861839,0.976978017103578,0.9948924332495318,0.9953413406713917,0.9854905797926011,0.9949013903710138,0.9584324609077993,1.0,0.9545434119590955,0.9931387974594882,0.9861203767401262,0.9715259275520517,0.9823052397391404,0.8880183048193201,0.9837605455491818,0.9871743976261792,0.9808595256396192,0.9374364474922829,0.9788265142195304,0.9851667578278961
rh_medialorbitofrontal_thickness,0.935875143912287,0.9348707883536354,0.9458427025241631,0.9699910410739596,0.9118419814457848,0.9450405816526459,0.978351059361375,0.9897909637002944,0.9283445287665013,0.9098534066457287,0.9242704326202229,0.932901321692923,0.9308167644279407,0.9235784511007266,0.9646063832132198,0.9461874589807813,0.9840095093667593,0.9471991149359108,0.9299151543224912,0.9590248816654323,0.9599179709165963,0.9718280435591945,0.9373118462668577,0.9420687513495963,0.9568998475287893,0.9888035114923706,0.9545434119590955,1.0,0.9175153591169501,0.948448737761056,0.9571789663494309,0.9178486364646251,0.9838467753786021,0.9431289094845745,0.9392500098783191,0.9290245480281601,0.9531638330233457,0.9523516921034428,0.9628094854051953
rh_parsopercularis_thickness,0.8389237176424456,0.9808003645683138,0.9693357255935562,0.9861665565368077,0.93688322167268,0.9889118175866299,0.9790562640738737,0.9621257011199793,0.9982397295779751,0.9491151564619504,0.9970127406518425,0.9870235979702794,0.9921429719744016,0.9762971255706563,0.9603265556621309,0.9916992320555614,0.8772827954451022,0.9838591312522061,0.978938691021505,0.9360772368191416,0.9634094422616939,0.9835682319423097,0.9961052492329086,0.9804954912437356,0.9873825634573911,0.9274278395192045,0.9931387974594882,0.9175153591169501,1.0,0.9787909747538748,0.9551768502196774,0.9855342567544543,0.8349439170777192,0.9786491096668781,0.9824701379348468,0.9788298142569106,0.912859307268194,0.968831647868821,0.9724509155495543
rh_parstriangularis_thickness,0.9302039134201922,0.999025531000531,0.9988235404573352,0.9847271009068141,0.9857423990145389,0.9969938389547368,0.9884393421564905,0.9703863160457614,0.9889322380804771,0.9890157586306655,0.9905081228704337,0.9981196028750802,0.9625505959606573,0.9972707580578514,0.9959548063319802,0.9966059677600261,0.9414627984604188,0.9983071970816851,0.9984382272000415,0.9872232322605423,0.996780999266462,0.9893085651640118,0.9924558850242081,0.9996733598212303,0.9974563967263458,0.9741002527545761,0.9861203767401262,0.948448737761056,0.9787909747538748,1.0,0.9951837940752898,0.9955560460143228,0.8806109456475937,0.9996270531734599,0.9985610479733086,0.9982838337231869,0.9761665693352861,0.9983816253988084,0.9983103596793979
rh_posteriorcingulate_thickness,0.961019298544189,0.991637554247113,0.9971482226293841,0.9738711582411779,0.9911525520651021,0.9865549089421946,0.9822652134152396,0.966365541003369,0.9703636379789485,0.989092489064522,0.9726079411954692,0.987702133103218,0.9384713438169107,0.9906867211201518,0.9994465080083487,0.9850467092798374,0.9637420161164051,0.9903316873640337,0.9912560999481055,0.9974046043579731,0.9980279971138797,0.9810187704715653,0.9768566592350126,0.9932979850625907,0.9888865069872474,0.9859215168022774,0.9715259275520517,0.9571789663494309,0.9551768502196774,0.9951837940752898,1.0,0.9836853003350865,0.9002629609248437,0.9941331584133749,0.9905430388448017,0.9909829432373748,0.9916043309438208,0.9971847012035918,0.9972249791439601
rh_precentral_thickness,0.8986644576261322,0.9984466245856974,0.9930813749838353,0.9762949954049762,0.9813807137500422,0.9951571745647724,0.9766100590537746,0.9522606109414993,0.993123503618103,0.9878090319048914,0.9955393794418422,0.9991345699580557,0.9631963492954547,0.9983272492520084,0.9836685931678257,0.9951633144237877,0.9068318419696966,0.9948488392203901,0.9985566051474559,0.9718320946866609,0.9869051579816909,0.9800241631599566,0.9943116374976831,0.9972580083591098,0.9927686319012363,0.9491098836389621,0.9823052397391404,0.9178486364646251,0.9855342567544543,0.9955560460143228,0.9836853003350865,1.0,0.835196360492416,0.9967623191769703,0.9968014684567602,0.9985401807158321,0.9570607997264607,0.9914640864180395,0.989241510780437
rh_rostralanteriorcingulate_thickness,0.9159934316233952,0.8605519611014503,0.8796487879587429,0.9124873747520695,0.8419846028502815,0.8728843452115992,0.9263023284756369,0.9517916698261792,0.8484850169319256,0.8358677736140023,0.8427552662560928,0.8563556692299242,0.8597130191904343,0.8450541494600199,0.9096108245594566,0.8742385021773901,0.9734123424265517,0.8778081132514921,0.8539692120150202,0.9098229470914795,0.901949479465183,0.9162558462244762,0.8611045717174722,0.8708349276162723,0.8906642682235804,0.9590707554940004,0.8880183048193201,0.9838467753786021,0.8349439170777192,0.8806109456475937,0.9002629609248437,0.835196360492416,1.0,0.8729754924707528,0.8666841609718486,0.8528286692898658,0.9110389009658263,0.8892427184501192,0.9030674720900987
